,accountId,id,name,profileIconId,puuid,revisionDate,status.message,status.status_code,summonerLevel
25,z1tJJGm2gbDijzJBE2_lbwLJEDVG1nadqc2OXJ4k_SaigZ8,5Z1LPnCuuEzrLgE8kjpioeDEomgxEBeNiszQiFNgx7-LrH0,Zenit,23.0,MvZ2BxQXJF_-ap7wt3blMhfWFtqPPnXb_WYj6IlQtM1zxPoRyBYqK6lB5itvJsNxnaWyOf7J371WtA,1596104976000.0,,,257.0
26,MY7eIjfb6BOiapA88fpkjMT9yNLVcUeSZherRLcNY4rNnfQ,Qkxj5mbvRycwvNS8Empren02VTV_ZhNsL1SRvmWJc8GYGwA,울부짖는보노보노,4655.0,ea2JksFeRnTZwzxR6j-wPNS_vfaKvPO4BAcI1fvSzjCQQJvFNRFl3LRJhiNyremIKqoMQu_HUgPpdQ,1596094542000.0,,,407.0
27,EdO44wTC5xIj3ipKjYIzqT2LuuQBRQzbrZn1Jci-PejRjaY,SKYdvZSW4XC6LEN5JEK4xrOWQ-9L1TAG9dLPKIB5kR6OSQU,아라가키 유이,4568.0,9dV48dBeGt7rNaDv3_Fu9ys0exFSIQonbQZusO9yGTtn5YnVF1pybrSfCbyL_JeF29ajtRN7c9cuBg,1596019683000.0,,,266.0
28,9DXq36m3l_MPsg0e5aYlDA2uJ2QsgEYcPlawQs8ckHaIduwxhpSEh3QX,5xj4gXjvPXcSTtUnasWzrLHd19e0zFtjXGCSQgS_r2d4fcM,feng ji xu chui,4491.0,AyH6QslmpY1BPXaQ1GMubZUuh1-a2YQkKOp1vxYTRwMcw0tiZw7AFKrdTcmAmlpjyvlBXljWq23oUQ,1595942462000.0,,,146.0
29,QeXqX34-6beLk7PT__WXP-N0AZ8BBVVCjHTHJOoUBh7PttA,7_NTUUZQrKVL0X31ravxeM0vPV6HFxg5ym34vqMcSM7Rb1E,오뚜기3분미트볼,977.0,F9x9RAqQ5_N5AnghYTyM9Q0x8DE370C7APT6KKZfCGsr9DpP_-2u2w1MoailWX3cbDa7Lu5RNpxmDA,1595990593000.0,,,203.0
30,p7CcaI5UYnATi8514zWCCTdemnDO9HUbAB-kkpQoPd07,DlTAxe1BDWHMPzHH0r_PO8t23CqmJbtHY1mjzmsENh5pZQ,탑 혜지,3839.0,IvB7nnLc596WVdp0jwrImPX99-ea2oyEoTcALBluSIpANL2U8lkg6dYFbZXd5KyX_ozYzqBAGk7DqA,1595913780000.0,,,249.0
31,-UrAkeZKChPc2zXEgtWjM-qWnKezspvkB5IjRvi27LcwMIw,l1BcCC-M1PyvSsoQ1jXIyHnW5Y95SzmokEVOgcqlCHJonyE,T1 Closer,3864.0,6RKEGzghQfghKH4wCVV_vGjbE9D2kE4uIUssGh8rfgrfDOaBAVYxLgJtwS8xR2pOU5-InTjK2KHhpQ,1595754185000.0,,,286.0
32,iY2uyZm-LzgE8qQj7wHgOJUWYGSTBEbtuhlWQ-5hPWIY8lWY4h-miZf_,YXGVI2zBXSoGGjaOdvx3pCg_0_FscYWpsa3mn1_svGu5euM,wenzhuwenzhu,1427.0,hb8NcQc2zYo4n6pzwl9k5bcfhEqS-ni2qDPtMN00yph6uMijqXlvsb-Me32CYSfMHUjmLdyNG_rYNQ,1596087624000.0,,,143.0
33,rIpPT31QFmpEpXJ9I-4GmpSNsJBLsPeXa2wOHfhBDgVo,i-v88MgT9UbU_eYXbXjXh8yCI7aN3AwDy-f2Qvu-CH0phg,미쳐놈,3787.0,MWr1ClVlcXYLA4V3vuQ0icvBKAnbu5_s6eXFHw09M4IiFqXtxu8vso3UoBZkrSpKnA_5Qk0I_Mld4g,1596022727000.0,,,451.0
34,yZFFexQCnAwMCyX46Y55MIy4dY6ztbEtp1r9WQ53mz82VdEnrTcKBaKZ,rNoP_OrjHsNSxGIpI73XhRo4IvIpGE9je1PkyxD46DNsiro,corgii,16.0,Z6UN7iV-nRndZbikQ7zc0Wcp0usg1wJiL9d0j4XYkAzPPUDpUrdWB6B2E97pxmfDenDUJbNK66lq0Q,1596022727000.0,,,89.0
